Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:0fCdmyP2Qrtc4IEfPmB90v,WATAN,KOLO BKHIR YA MAMA,Begad,2026-05-08,148702,33,false,,2026-08-25T04:02:32Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.476,0.428,2,-10.754,0,0.326,0.42,0,0.132,0.396,64.728,5
spotify:track:5c3hT0pyCPmAoELs7hBQFv,SLV,SLV,Shabjdeed;SMOKAHOLIC,2026-08-01,116000,67,false,,2026-08-04T19:43:33Z,"arabic hip hop,egyptian hip hop,egyptian pop",BLTNM,0.754,0.683,2,-10.037,0,0.08,0.413,0.0000459,0.0884,0.428,119.95,4
spotify:track:4KVkhVYJ3s7QK2dfp6NPhP,FADA2Y,FOR REAL,Afroto,2025-10-01,166989,47,false,,2026-08-02T14:40:46Z,"egyptian hip hop,arabic hip hop,mahraganat,egyptian pop",The Basement Records,0.588,0.576,4,-7.249,1,0.246,0.58,0,0.0888,0.432,125.4,4
spotify:track:4b4I8VdPPxeZcZcPyCPUvQ,HASES BEEK,KOLO BKHIR YA MAMA,Begad,2026-05-08,92800,37,false,,2026-08-02T01:08:03Z,"egyptian hip hop,arabic hip hop,egyptian pop",Drop [Mgmt],0.688,0.455,0,-13.207,0,0.227,0.0709,0,0.116,0.172,92.117,4
spotify:track:5PTiZNhdidMaRZOjSI2xks,That's Amore - Remastered 1996,The Very Best Of Dean Martin,Dean Martin,1995-01-01,187506,49,false,,2026-07-28T05:16:46Z,"christmas,adult standards,big band,swing music",Capitol Records,0.353,0.218,10,-9.399,1,0.0342,0.78,0,0.113,0.558,157.095,3
spotify:track:3sK8wGT43QFpWrvNQsrQya,DtMF,DeBÍ TiRAR MáS FOToS,Bad Bunny,2025-01-05,237117,96,true,,2026-07-22T13:08:02Z,"reggaeton,trap latino,latin,urbano latino",Rimas Entertainment LLC.,0.625,0.131,7,-27.405,0,0.0717,0.177,0.218,0.0807,0.032,136.02,4
spotify:track:6Dc2tCivms1s2X9myWe4ni,Tuyo (Narcos Theme) - A Netflix Original Series Soundtrack,Tuyo (Narcos Theme) [A Netflix Original Series Soundtrack],Rodrigo Amarante,2015-09-18,89293,68,false,,2026-07-12T00:26:56Z,new mpb,Gaumont Télévision,0.72,0.422,1,-13.338,0,0.069,0.474,0.0847,0.155,0.546,112.219,4
spotify:track:6g2BiiVQqY5v1S4HIrM54F,Tuyo (Narcos Theme) [Extended Version] - A Netflix Original Series Soundtrack,Tuyo (Narcos Theme) [Extended Version] [A Netflix Original Series Soundtrack],Rodrigo Amarante,2018-11-16,151565,74,false,,2026-06-14T05:12:07Z,new mpb,Gaumont Télévision,0.765,0.497,1,-7.806,0,0.0402,0.492,0.366,0.143,0.457,112.195,4
spotify:track:2S7RApTsKT0CtYojYq2cKz,L'italiano,L'Italiano,Toto Cutugno,1983-02-01,236546,76,false,,2026-06-14T04:56:55Z,,Carosello Records,0.617,0.519,10,-11.411,0,0.0404,0.292,0,0.411,0.692,121.35,4
spotify:track:1YwPNemawMgGe6sF4U0FTE,Suavemente,Suavemente...Los Exitos,Elvis Crespo,2008-10-14,266306,69,false,,2026-06-14T04:55:27Z,"merengue,latin dance,salsa,latin",Sony Music Latin,0.809,0.883,8,-2.965,1,0.0689,0.238,0.00234,0.0625,0.918,124.096,4
